id;available;url;price;currencyId;category;picture;name;description
15595;true;http://izrael-cosmetics.ru/product/dead-sea-%d0%bc%d1%8b%d0%bb%d0%be-%d0%bc%d0%be%d0%bb%d0%be%d1%87%d0%ba%d0%be-%d0%bf%d1%80%d0%be%d1%82%d0%b8%d0%b2-%d0%bf%d1%81%d0%be%d1%80%d0%b8%d0%b0%d0%b7%d0%b0;43,945;RUR;Уход за телом;http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/dead-sea-skin-relief-psoriasis-body-milk-soap.jpg;Dead Sea Мыло - молочко против псориаза;-
15721;true;http://izrael-cosmetics.ru/product/%d1%88%d0%b0%d0%bc%d0%bf%d1%83%d0%bd%d1%8c-%d1%81-%d0%bc%d0%b0%d1%80%d1%80%d0%be%d0%ba%d0%b0%d0%bd%d1%81%d0%ba%d0%b8%d0%bc-%d0%bc%d0%b0%d1%81%d0%bb%d0%be%d0%bc-%d0%b0%d1%80%d0%b3%d0%b0%d0%bd%d0%b0;7,821;RUR;Уход за волосами;http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/moroccan-argan-oil-hair-shampoo.jpg;Шампунь с Марроканским маслом Аргана;-
14916;true;http://izrael-cosmetics.ru/product/%d0%be%d0%b1%d0%bb%d0%b5%d0%bf%d0%b8%d1%85%d0%be%d0%b2%d1%8b%d0%b9-%d0%b0%d0%bd%d1%82%d0%b8%d0%b2%d0%be%d0%b7%d1%80%d0%b0%d1%81%d1%82%d0%bd%d0%be%d0%b9-%d1%83%d0%b2%d0%bb%d0%b0%d0%b6%d0%bd%d0%b8%d1%82;13,024;RUR;Уход за телом;http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/sea-buckthorn-anti-aging-body-moisturizer-dead-sea-minerals.jpg;Облепиховый антивозрастной увлажнитель с минералами Мертвого Моря;-
16108;true;http://izrael-cosmetics.ru/product/%d1%81%d1%83%d0%bf%d0%b5%d1%80%d1%83%d0%b2%d0%bb%d0%b0%d0%b6%d0%bd%d1%8f%d1%8e%d1%89%d0%b8%d0%b9-%d0%ba%d1%80%d0%b5%d0%bc-%d1%81-%d0%bc%d0%b0%d1%81%d0%bb%d0%be%d0%bc-%d1%88%d0%b8-%d0%be%d1%82-dead-sea;8,855;RUR;Уход за телом;http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/extra-rich-cream-shea-butter-dead-sea-cosmetics.jpg;Суперувлажняющий крем с маслом Ши от Dead Sea Cosmetics;-
15867;true;http://izrael-cosmetics.ru/product/%d0%b7%d0%b0%d1%89%d0%b8%d1%82%d0%bd%d1%8b%d0%b9-%d0%ba%d1%80%d0%b5%d0%bc-bio-marine-dead-sea-%d0%b4%d0%bb%d1%8f-%d0%bd%d0%be%d1%80%d0%bc%d0%b0%d0%bb%d1%8c%d0%bd%d0%be%d0%b9-%d0%b8-%d1%81%d1%83%d1%85;10,945;RUR;Крема;http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/bio-marine-protective-dead-sea-day-cream-normal-dry.jpg;Защитный Крем Bio Marine Dead Sea, для нормальной и сухой кожи (new);-
15916;true;http://izrael-cosmetics.ru/product/%d0%b0%d0%bd%d1%82%d0%b8%d0%b2%d0%be%d0%b7%d1%80%d0%b0%d1%81%d1%82%d0%bd%d0%be%d0%b9-%d0%ba%d1%80%d0%b5%d0%bc-%d1%81-%d0%bc%d0%b0%d1%81%d0%bb%d0%be%d0%bc-%d1%82%d1%8b%d0%ba%d0%b2%d1%8b;9,383;RUR;Крема;http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/anti-aging-day-cream-enriched-dead-sea-minerals-pumpkin-oil-spf-45.jpg;Антивозрастной крем с маслом тыквы;-
15890;true;http://izrael-cosmetics.ru/product/dead-sea-%d0%b7%d0%b0%d1%89%d0%b8%d1%82%d0%bd%d1%8b%d0%b9-%d0%bc%d1%83%d0%b6%d1%81%d0%ba%d0%be%d0%b9-%d0%ba%d1%80%d0%b5%d0%bc-%d0%bf%d1%80%d0%be%d1%82%d0%b8%d0%b2-%d0%bc%d0%be%d1%80%d1%89%d0%b8%d0%bd;10,945;RUR;Крема;http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/dead-sea-protective-anti-wrinkle-cream-spf-15-men.gif;Dead Sea Защитный мужской крем против морщин SPF-15 (new);-
16680;true;http://izrael-cosmetics.ru/product/mogador-%d0%bf%d0%b8%d1%82%d0%b0%d1%8e%d1%89%d0%b8%d0%b9-%d0%bd%d0%be%d1%87%d0%bd%d0%be%d0%b9-%d0%ba%d1%80%d0%b5%d0%bc-%d1%81-%d0%b0%d1%80%d0%b3%d0%b0%d0%bd%d0%be%d0%b2%d1%8b%d0%bc-%d0%bc%d0%b0%d1%81;10,945;RUR;Уход за телом;http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/mogador-nourishing-night-cream-argan-oil.jpg;Mogador Питающий ночной крем с аргановым маслом (new);-
16264;true;http://izrael-cosmetics.ru/product/%d0%bc%d0%b0%d1%81%d0%ba%d0%b0-%d0%b4%d0%bb%d1%8f-%d0%bb%d0%b8%d1%86%d0%b0-%d1%81-%d0%bc%d0%b0%d1%81%d0%bb%d0%be%d0%bc-%d1%88%d0%b8;10,945;RUR;Уход за телом;http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/calming-hydrating-mask-shea-butter-aloe-vera-dead-sea-minerals.jpg;Маска для лица с маслом Ши;-
16537;true;http://izrael-cosmetics.ru/product/mogador-%d0%bd%d0%b5%d0%b6%d0%bd%d1%8b%d0%b9-%d0%bf%d0%b8%d0%bb%d0%b8%d0%bd%d0%b3-%d0%ba%d1%80%d0%b5%d0%bc-%d0%b4%d0%bb%d1%8f-%d0%bb%d0%b8%d1%86%d0%b0-%d1%81-%d0%b0%d1%80%d0%b3%d0%b0%d0%bd%d0%be%d0%b2;10,945;RUR;Уход за волосами;http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/mogador-gentle-facial-peeling-cream-argan-oil_0.jpg;Mogador Нежный пилинг-крем для лица с аргановым маслом (new);-
